Team,2010,2011,2012,2013,2014,2015,2016,2017,TeamPlayoffsSalary
ATL,1,1,1,1,1,1,1,1,190.9
BOS,1,1,1,1,0,1,1,1,293.5
BRK,0,0,0,1,1,1,0,0,77.6
CHA,1,0,0,0,1,0,0,0,103.0
CHI,1,1,1,1,1,1,0,1,140.2
CHO,0,0,0,0,0,0,1,0,370.7
CLE,1,0,0,0,0,1,1,1,137.5
DAL,1,1,1,0,1,1,1,0,74.2
DEN,1,1,1,1,0,0,0,0,291.6
DET,0,0,0,0,0,0,1,0,197.4
GSW,0,0,0,1,1,1,1,1,368.7
HOU,0,0,0,1,1,1,1,1,334.6
IND,0,1,1,1,1,0,1,1,79.5
LAC,0,0,1,1,1,1,1,1,139.3
LAL,1,1,1,1,0,0,0,0,336.8
MEM,0,1,1,1,1,1,1,1,303.7
MIA,1,1,1,1,1,0,1,0,431.9
MIL,1,0,0,1,0,1,0,1,352.6
NOH,0,1,0,0,0,0,0,0,396.0
NOP,0,0,0,0,0,1,0,0,277.4
NYK,0,1,1,1,0,0,0,0,342.6
OKC,1,1,1,1,1,0,1,1,377.8
ORL,1,1,1,0,0,0,0,0,231.6
PHI,0,1,1,0,0,0,0,0,211.9
PHO,1,0,0,0,0,0,0,0,298.8
POR,1,1,0,0,1,1,1,1,176.4
SAS,1,1,1,1,1,1,1,1,138.0
TOR,0,0,0,0,1,1,1,1,26.8
UTA,1,0,1,0,0,0,0,1,93.8
WAS,0,0,0,0,1,1,0,1,43.8
